count,date,type,sub
16,201301, DNS ,None
78,201301, Others,None
16,201302, DNS ,None
178,201302, Others,None
116,201303, DNS ,None
78,201303, Others,None
416,201304, DNS ,None
78,201304, Others,None
116,201305, DNS ,None
78,201305, Others,None
16,201306, DNS ,None
78,201306, Others,None
16,201306, DNS ,None
78,201306, Others,None
39,201307, DNS ,None
133,201307, Others,None
182,201308, DNS ,None
204,201308, Others,None
198,201309, DNS ,None
305,201309, Others,None
213,201310, DNS ,None
2,201310, HTTP,None
388,201310, Others,None
308,201311, DNS ,None
19,201311, HTTP,None
498,201311, Others,None
475,201312, DNS ,None
648,201312, Others,None
692,201401, DNS ,None
126,201401, HTTP,None
783,201401, Others,None
932,201402, DNS ,None
903,201402, Others,None
1091,201403, DNS ,None
228,201403, HTTP,None
995,201403, Others,None
1217,201404, DNS ,None
232,201404, HTTP,None
1110,201404, Others,None
1375,201405, DNS ,None
1248,201405, Others,None
1536,201406, DNS ,None
288,201406, HTTP,None
1368,201406, Others,None
1594,201407, DNS ,None
473,201407, HTTP,None
1442,201407, Others,None
1690,201408, DNS ,None
510,201408, HTTP,None
1538,201408, Others,None
1536,201409, DNS ,None
288,201409, HTTP,None
1536,201410, DNS ,None
288,201410, HTTP,None
1536,201411, DNS ,None
1288,201411, HTTP,None
1536,201412, DNS ,None
288,201412, HTTP,None
