week,count
Jan2013-01,0
Jan2013-02,0
Jan2013-03,0
Jan2013-04,0
Feb2013-01,0
Feb2013-02,0
Feb2013-03,0
Feb2013-04,0
Mar2013-01,0
Mar2013-02,0
Mar2013-03,0
Mar2013-04,0
Apr2013-01,0
Apr2013-02,0
Apr2013-03,0
Apr2013-04,0
May2013-01,0
May2013-02,0
May2013-03,0
May2013-04,0
Jun2013-01,3200
Jun2013-02,2505
Jun2013-03,5978
Jun2013-04,7013
Jul2013-01,3709
Jul2013-02,3578
Jul2013-03,4612
Jul2013-04,4983
Aug2013-01,3020
Aug2013-02,4082
Aug2013-03,4739
Aug2013-04,8243
Sep2013-01,3166
Sep2013-02,3059
Sep2013-03,3667
Sep2013-04,7719
Oct2013-01,4291
Oct2013-02,3525
Oct2013-03,3138
Oct2013-04,209606
Nov2013-01,1171003
Nov2013-02,713195
Nov2013-03,601432
Nov2013-04,18289
Dec2013-01,10432
Dec2013-02,7180
Dec2013-03,7413
Dec2013-04,19770
Jan2014-01,14405
Jan2014-02,6369
Jan2014-03,6787
Jan2014-04,31440
Feb2014-01,8130
Feb2014-02,9127
Feb2014-03,7635
Feb2014-04,10771
Mar2014-01,9290
Mar2014-02,13169
Mar2014-03,8873
Mar2014-04,11715
Apr2014-01,3888
Apr2014-02,86195
Apr2014-03,23814
Apr2014-04,20035
May2014-01,14590
May2014-02,13585
May2014-03,15601
May2014-04,17762
Jun2014-01,6499
Jun2014-02,6726
Jun2014-03,11975
Jun2014-04,281581
Jul2014-01,68042
Jul2014-02,73457
Jul2014-03,12890
Jul2014-04,10564
Aug2014-01,116699
Aug2014-02,677287
Aug2014-03,12425
Aug2014-04,14255
Sep2014-01,0
Sep2014-02,0
Sep2014-03,0
Sep2014-04,0
Oct2014-01,0
Oct2014-02,0
Oct2014-03,0
Oct2014-04,0
Nov2014-01,0
Nov2014-02,0
Nov2014-03,0
Nov2014-04,0
Dec2014-01,0
Dec2014-02,0
Dec2014-03,0
Dec2014-04,0
